overdue, is_yun, career_state, sort_time, career_talk_id, company_id, company_name, logo, hotcount, professionals, career_type, recruit_type, company_review, company_property, industry_category, city_name, meet_name, meet_time, school_name, address, room, view_count, recept_faculty, is_above_college_degree, is_above_bachelor_degree, is_above_master_degree, is_above_doctor_degree, is_recommend, recommend_time, meet_day
1, 0, 0, 226947, 311353, 349197, 中央驻长单位公务员考录预选通知, http://pic.bibibi.net/public/images/icon/4.png, 0, , , 正式宣讲, , 机关, 公共管理、社会保障和社会组织, , 中央驻长沙单位公务员考录预选, 09:00, , 【常】招就处329报告厅, , 872, , 0, 0, 0, 0, 0, 0, 2019-12-12
1, 0, 0, 349347, 310928, 333931, 广州日报数据和数字化研究院, http://yun-campus-res.oss-cn-shenzhen.aliyuncs.com/company/1572514913-7513.jpg, 0, 数学类、统计学类、信息与计算科学、教育学类、哲学类、中国语言文学类、汉语言、法学类、新闻传播学类、信息与计算科学、软件工程、电子信息类、电子信息工程、会展经济与管理、旅游管理与服务教育、中国语言文学类、历史学类、哲学类, , 正式宣讲, , 国有企业, 信息传输、软件和信息技术服务业, 广州, 广州日报数据和数字化研究院, 19:00, , 【常】招就处329报告厅, , 485, 招生与就业指导处, 0, 0, 0, 0, 0, 0, 2019-12-13
1, 0, 0, 486147, 310950, 212482, 中国化工集团曙光橡胶工业研究设计院有限公司, http://yun-campus-res.oss-cn-shenzhen.aliyuncs.com/company/1542164775-9567.png, 0, 数学类、工程力学、机械类、材料类、材料科学与工程、应用物理学、应用化学、化学、分子科学与工程、力学类、工程力学、机械设计制造及其自动化、机械类、市场营销、物流管理与工程类、物流工程、工业工程类、采购管理、力学类、工程力学、材料类、材料科学与工程、高分子材料与工程, , 正式宣讲, , 国有企业, 制造业, 桂林, 中国化工集团曙光橡胶工业研究设计院有限公司, 09:00, , 【常】招就处329报告厅, , 348, 招生与就业指导处, 0, 0, 1, 0, 0, 0, 2019-12-15
1, 0, 0, 572547, 309581, 183216, 瓦房店轴承集团有限责任公司, http://yun-campus-res.oss-cn-shenzhen.aliyuncs.com/company/1539161207-4857.png, 0, 机械类、机械设计制造及其自动化、机械电子工程, , 正式宣讲, , 国有企业, 制造业, 大连, 瓦房店轴承集团有限责任公司, 09:00, , 【常】招就处329报告厅, , 671, 机械与运载工程学院, 0, 0, 0, 0, 0, 0, 2019-12-16
1, 0, 1, 954147, 310725, 333931, 广州日报数据和数字化研究院, http://yun-campus-res.oss-cn-shenzhen.aliyuncs.com/company/1572514913-7513.jpg, 0, 数学类、统计学类、信息与计算科学、教育学类、哲学类、中国语言文学类、汉语言、法学类、新闻传播学类、信息与计算科学、软件工程、电子信息类、电子信息工程、会展经济与管理、旅游管理与服务教育、中国语言文学类、历史学类、哲学类, , 正式宣讲, , 国有企业, 信息传输、软件和信息技术服务业, 广州, 广州日报数据和数字化研究院, 19:00, , 【常】招就处329报告厅, , 221, 招生与就业指导处, 0, 0, 0, 0, 0, 0, 2019-12-20
1, 0, 0, 1371747, 309670, 96497, 学而思教育科技有限公司, http://yun-campus-res.oss-cn-shenzhen.aliyuncs.com/company/1510020227-8416.jpg, 3, 不限专业, , 正式宣讲, , 其他企业, 教育, 深圳, 学而思教育科技有限公司, 15:00, , 【常】招就处329报告厅, , 842, 招生与就业指导处, 0, 0, 0, 0, 0, 0, 2019-12-25
0, 0, 1, -1575853200, 310095, 338266, 长沙市望城区教育局, http://pic.bibibi.net/public/images/icon/2.png, 0, 不限专业, , 正式宣讲, , 机关, 教育, 长沙, 长沙市望城区教育局, 09:00, , 【常】招就处329报告厅, , 1458, 招生与就业指导处, 0, 0, 0, 0, 0, 0, 2019-12-09
0, 0, 0, -1575853200, 310382, 316648, 中电建生态环境集团有限公司, http://yun-campus-res.oss-cn-shenzhen.aliyuncs.com/company/1570872986-5770.png, 0, 风景园林、经济学类、经济学、金融学类、金融学、国际经济与贸易、法学、中国语言文学类、工商管理、市场营销、行政管理、安全科学与工程类、安全防范工程、土木工程、给排水科学与工程、地质工程、工程管理、工程造价, , 正式宣讲, , 国有企业, 科学研究和技术服务业, 宝安, 中电建生态环境集团有限公司, 09:00, , 【常】招就处329报告厅, , 1457, 招生与就业指导处, 0, 1, 0, 0, 0, 0, 2019-12-09
0, 0, 0, -1575853200, 311012, 336623, 长治学院, http://yun-campus-res.oss-cn-shenzhen.aliyuncs.com/company/1572938838-2905.jpg, 0, 哲学类、哲学、逻辑学、宗教学、伦理学、不限专业, , 正式宣讲, , 高等教育单位, 教育, 长治, 长治学院, 09:00, , 【常】复临舍105, , 448, 招生与就业指导处, 0, 0, 1, 0, 0, 0, 2019-12-09
0, 0, 0, -1575766800, 310311, 341123, 云南衡水宜良实验中学, http://yun-campus-res.oss-cn-shenzhen.aliyuncs.com/company/1573614784-9774.jpg, 0, 汉语言文学、英语、物理学、生物科学, , 正式宣讲, , 其他, 教育, 昆明, 云南衡水宜良实验中学, 09:00, , 【常】复临舍106, , 509, 不限学院, 0, 1, 0, 0, 0, 0, 2019-12-08
0, 0, 2, -1575702000, 307759, 103723, 中国烟草总公司浙江省公司, http://yun-campus-res.oss-cn-shenzhen.aliyuncs.com/company/1511498931-6691.jpg, 3, 不限专业, , 正式宣讲, , 国有企业, 批发和零售业, 杭州, 浙江省烟草专卖局（公司）及所属单位, 15:00, , 【常】复临舍101报告厅, , 2637, 招生与就业指导处, 0, 0, 0, 0, 0, 0, 2019-12-07
