overdue, is_yun, career_state, sort_time, career_talk_id, company_id, company_name, logo, hotcount, professionals, career_type, recruit_type, company_review, company_property, industry_category, city_name, meet_name, meet_time, school_name, address, room, view_count, recept_faculty, is_above_college_degree, is_above_bachelor_degree, is_above_master_degree, is_above_doctor_degree, is_recommend, recommend_time, meet_day
0, 0, 0, -1575336600, 305668, 339706, 中电建环保科技有限公司, http://pic.bibibi.net/public/images/icon/4.png, 0, 环境工程、土木工程、给排水科学与工程、会计学, , , , 国有企业, 建筑业, 长沙, 中电建环保科技有限公司, 09:30, 湘潭大学, 服务大楼107, , 1669, 招生与就业指导处, 0, 0, 1, 0, 0, 0, 2019-12-03
0, 0, 0, -1575421200, 310341, 205430, 广东泰塑新材料科技有限公司, http://yun-campus-res.oss-cn-shenzhen.aliyuncs.com/company/1541388388-3071.jpg, 0, 高分子材料与工程、化学工程与工艺、机械类、微机电系统工程、高分子材料与工程、电气工程及其自动化、电气工程与智能控制、市场营销、工商管理类、化学、应用化学、化学类、统计学、统计学类、不限专业, , , , 民营企业, 制造业, 惠州, 广东泰塑新材料科技有限公司, 09:00, 湘潭大学, 服务大楼107, , 525, 招生与就业指导处, 1, 0, 0, 0, 0, 0, 2019-12-04
0, 0, 0, -1575527400, 308889, 87404, 招商证券股份有限公司深圳益田路免税商务大厦证券营业部, http://yun-campus-res.oss-cn-shenzhen.aliyuncs.com/company/1508748511-4041.png, 1, 不限专业, , , , 国有企业, 金融业, 深圳, 招商证券股份有限公司深圳益田路免税商务大厦证券营业部, 14:30, 湘潭大学, 取消宣讲, , 824, 招生与就业指导处, 1, 0, 0, 0, 0, 0, 2019-12-05
0, 0, 0, -1575527400, 301987, 9252, 浙江天宇药业股份有限公司, http://yun-campus-res.oss-cn-shenzhen.aliyuncs.com/company/1525417504-2642.png, 1, 工业分析技术、化工装备技术、工业过程自动化技术、电气自动化技术、、化学工程与工艺、化工与制药类、制药工程、、化学、化学工程与工艺、制药工程、化工与制药类、制药工程、化工与制药类、化学工程与工艺, , , , 民营企业, 制造业, 台州, 2020浙江天宇药业股份有限公司湘潭大学专场招聘会, 14:30, 湘潭大学, 服务大楼107, , 1351, 化工学院, 0, 1, 0, 0, 0, 0, 2019-12-05
0, 0, 0, -1575630000, 306180, 33355, 东莞市星火教育科技有限公司, http://yun-campus-res.oss-cn-shenzhen.aliyuncs.com/company/1504754299-6594.jpg, 20, 不限专业, , , , 中初教育单位, 教育, 东莞, 东莞市星火教育科技有限公司, 19:00, 湘潭大学, 服务大楼106, , 1038, 招生与就业指导处, 0, 1, 0, 0, 0, 0, 2019-12-06
0, 0, 0, -1575613800, 310020, 61657, 旭辉集团股份有限公司, http://yun-campus-res.oss-cn-shenzhen.aliyuncs.com/company/1494401957-9540.png, 0, 贸易经济、电子商务、国际经济与贸易、市场营销、工商管理, , , , 民营企业, 房地产业, 上海, 旭辉集团股份有限公司, 14:30, 湘潭大学, 服务大楼107, , 764, 招生与就业指导处, 0, 1, 0, 0, 0, 0, 2019-12-06
0, 0, 0, -1575599400, 311008, 324680, 湖南铭望工程设备有限公司, http://yun-campus-res.oss-cn-shenzhen.aliyuncs.com/company/1571712024-1247.png, 0, 建筑类、建筑电气与智能化, , , , 其他企业, 建筑业, 长沙, 湖南铭望工程设备有限公司, 10:30, 湘潭大学, 服务大楼100, , 192, 面试或推荐, 1, 0, 0, 0, 0, 0, 2019-12-06
0, 0, 1, -1575594000, 307841, 112108, 广东绿晟环保股份有限公司, http://yun-campus-res.oss-cn-shenzhen.aliyuncs.com/company/1514339128-6321.jpg, 0, 计算机类、电气工程及其自动化、机械设计制造及其自动化、能源与环境系统工程、环境科学与工程、资源环境科学、投资学、经济学、化学类、化学工程与工艺、不限专业, , , , 民营企业, 水利、环境和公共设施管理业, 清远, 职等你来 2019绿晟环保专场招聘会, 09:00, 湘潭大学, 取消宣讲, , 960, 招生与就业指导处, 0, 1, 0, 0, 0, 0, 2019-12-06
4730, “才聚扬城”——江苏扬州专场招聘（湘潭大学站）, 14:00, 湘潭大学, 湘潭大学服务大楼院内, 2019-12-9
1, 0, 0, 224975, 310821, 347617, 厦门海陆海事服务有限公司, http://pic.bibibi.net/public/images/icon/1.png, 0, 日语、不限专业, , , , 民营企业, 交通运输、仓储和邮政业, 厦门, 厦门海陆海事服务有限公司, 09:00, 湘潭大学, 服务大楼100, , 195, 外国语学院, 0, 1, 0, 0, 0, 0, 2019-12-10
1, 0, 0, 331175, 309533, 69635, 深圳学而思教育科技有限公司, http://yun-campus-res.oss-cn-shenzhen.aliyuncs.com/company/1539651832-7150.png, 23, 不限专业, , , , 其他企业, 教育, 深圳, 深圳学而思教育科技有限公司, 14:30, 湘潭大学, 服务大楼100, , 615, 招生与就业指导处, 0, 1, 0, 0, 0, 0, 2019-12-11
